id,authorName,postDate,votes,content
3454909,,2026-05-08 07:00:36.230000,3,"<p><a href=""https://www.kaggle.com/toolazyhhh123"" target=""_blank"">@toolazyhhh123</a></p>
<p>Of the 1555 symbol_transformation puzzles in train.csv, the public DSL (pick / shift / xor) doesn't fit on 878 of them (~57%):</p>
<ul>
<li>661 the public reference solver (Huikang's notebook) skips entirely.</li>
<li>217 more it traces but tags individual operators as unknown and emits a fallback guess.</li>
</ul>
<p>I ran two independent solvers over a subset of 561 puzzles for training, and kept 53 puzzles for validation:</p>
<ol>
<li><p>z3-bounded search restricted to the public DSL - pick a character from a fixed input position, Caesar-shift, xor-with-constant, xor across two positions. For each output character of each example, the search walks through which DSL operation could produce that character, then labels the position as either derivable (some same-operator example fixes the operation) or a guess (no same-operator example constrains it). One step-by-step trace per puzzle becomes one training row.</p></li>
<li><p>Qwen3.5-397B-A17B-FP8 + JupyterSandbox. Each puzzle is given to Qwen with one tool exposed: a Python sandbox. Within a single inference turn, Qwen runs the hypothesis-test loop itself by proposing a candidate lambda L, op, R: , calling the sandbox to execute it against every shown example pair, reading back per-example pass/fail, then either revising or commiting. I call a rule verified when the sandbox confirms it reproduces every shown example output exactly. Per puzzle, I generated 4 attempts and ended up with 2244 attempts. There were 1198 verified (the rest hit context limits, failed sandbox verification on at least one example, or didn't commit). The kept trace preserves both proposals and sandbox returns inline.</p></li>
</ol>
<p>Both trace types feed the same training recipe: SFT with a rank-128 LoRA on the Nemotron-Nano-30B base.</p>
<ul>
<li><p>Trained on the z3 traces alone (8332-row SFT including non-sym_tr categories): peak 1/53 on the held-out sym_tr val split. The single val puzzle the model got right had a uniform output (the keyed answer was one character repeated) and every character of the answer also appeared in the query input. Every other val puzzle required a rule shape the public DSL can't express.                                                                                                                                          </p></li>
<li><p>Of the 1198 verified Qwen rules, 82% (982) used shapes the DSL can't express e.g. operator-conditional branching, cross-position arithmetic, aggregate operations.</p></li>
<li><p>Adding those 982 Qwen traces to the SFT mix and retraining: regressed val 1/53 → 0/53.                                                                           </p></li>
</ul>
<p>The golden answer lives in a prior that neither the public DSL nor a 397B-parameter LLM with verified hypothesis search reliably samples from</p>"
3454959,,2026-05-08 10:15:55.413000,0,"<p>Thank you — this is genuinely useful, and the sandbox-with-verification setup is something I wanted to try but couldn't get working within batch-cost constraints (the batch APIs I was using for cost reduction don't compose cleanly with tool-use loops). Good to see what the result looks like when someone actually does it.</p>
<p>Two things stand out to me from your numbers:</p>
<p>First, the 82% finding is the strongest version of the concern. If 982 out of 1198 verified Qwen rules — rules that demonstrably reproduce every shown example — use shapes outside the public DSL, that's direct empirical evidence that ""matches all examples"" and ""matches the keyed answer"" are pulling apart at scale, not just in edge cases. The same-operator distribution in my original post was suggestive; your number is the actual measurement.</p>
<p>Second, the regression from 1/53 to 0/53 when adding the verified Qwen traces is the part I find most striking. SFT on rules that verifiably solve the shown examples hurt held-out performance. That's a clean signal that the keyed-answer prior is narrow enough that even self-consistent alternative hypotheses move the model away from it.</p>
<p>For what it's worth, I have a small-sample observation that points the same direction:  I evaluated K2.5, K2.6, and DeepSeek V3.2 on the first 100 train puzzles, which included 11 symbol_transformation puzzles. K2.5 and DeepSeek hit 1/11 each, K2.6 hit 3/11. Small sample and not a symbol_transformation-targeted study like yours, but consistent with your conclusion that frontier-reasoning LLMs don't reliably sample from this prior.</p>
<p>Your closing line is the right summary: the keyed answer lives in a prior that neither the public DSL nor a verified-hypothesis-search LLM reliably samples from. That makes the operationalization question — what grounds the keyed answer as canonical/natural/plausible — sharper rather than weaker.</p>"
3454841,,2026-05-08 01:38:55.780000,2,"<p>For cryptarithm_deduce category of problems, Gemini AI recommended ""Constraint Satisfaction Problem (CSP) Backtracking solver"" - a python program does an elaborate brute-force search and finds the accurate solution. </p>
<p>But how to give the reasoning for this solution?!😀 If you give one reasoning path, the model would only learn to provide perfect reasoning for a hallucinated answer!</p>
<p>So, even if there is just one solution for the problem, we cannot make it as part of the reasoning CoTs</p>"
3454975,,2026-05-08 10:39:17.527000,0,"<p>I think this is a significant practical risk for training, although I am not an expert in this topic. If I do find something significant in the literature I may drop it here.</p>"
3454987,,2026-05-08 10:53:58.943000,2,"<p>you may be interested in this paper <a href=""https://arxiv.org/abs/2404.03683"" target=""_blank"">https://arxiv.org/abs/2404.03683</a>
On Countdown (a pure CSP-style task), training on search trajectories with backtracking gives 51% vs. 26% for training on optimal paths only — roughly 2× better. Searchformer finds 5–10× smaller models suffice when trained on A* search dynamics vs. optimal plans.</p>
<p>My take on this is training on optimal path can help but on trajectories with backtracking likely help more.</p>"
3454832,,2026-05-08 01:06:23.643000,2,"<p>Did you notice that there are a lot of duplicate prompts in symbol transformation category?</p>
<p>Only 54 prompts are unique in cryptarithm_deduce category and overall only 10% of around 1000 prompts are unique!</p>
<p>I spent time and gpu hours on creating new accurate CoT and training for crypatrithm_deduce and equation_numeric, but there was no change in LB score, then I realized that I am training for some 21 prompts, 54 prompts etc!!</p>
<p><img src=""https://www.googleapis.com/download/storage/v1/b/kaggle-forum-message-attachments/o/inbox%2F10218904%2F5edb96b48f890bfe1c4c7e14e7173c86%2FPicture1.jpg?generation=1778202058227263&amp;alt=media"" alt=""""></p>
<p>Note: this analysis is on <a href=""https://www.kaggle.com/huikang"" target=""_blank"">@huikang</a>'s dataset titled 'problem_ids_matched.csv'</p>"
3454833,,2026-05-08 01:11:00.813000,0,"<p>Another observation - I guess this one most would have noticed  - that in the 'guess' variety of prompts - almost all of them - have operators which are not there in in-context examples. </p>
<p>But still  <a href=""https://www.kaggle.com/huikang"" target=""_blank"">@huikang</a>'s synthetic CoT gives elaborate boiler-plate reasoning only to be discarded when it comes to solution! But if I remove Tong's CoT, the score goes down!</p>
<p>So, I think the objective is to learn both positive and negative examples - hence I recreated the CoT's to be more accurate..</p>"
3454864,,2026-05-08 03:46:47.053000,0,"<p>In <a href=""https://www.kaggle.com/huikang"" target=""_blank"">@huikang</a> 's dataset, there are a lot of duplicated ""id"" values. That’s why training on that dataset gives about a ±0.85 LB score.</p>"
3453541,,2026-05-05 16:44:49.443000,1,"<p>Hi <a href=""https://www.kaggle.com/ryanholbrook"" target=""_blank"">@ryanholbrook</a> and <a href=""https://www.kaggle.com/cpmpml"" target=""_blank"">@cpmpml</a> , this post raised some valid concerns that you might’ve missed. </p>
<p>I personally think publishing the dsl / data generator is a bad idea, however, addressing the non-uniqueness of certain puzzles in symbol transformation category is reasonable.</p>"
3453585,,2026-05-05 17:39:16.753000,2,"<p>The post expresses the complexity of induction. The issue is not limited by any mean to this competition.</p>
<p>in arc agi2 I can often think of more than one possible function that solves a given puzzle.</p>
<p>And in IQ tests I always struggle with series completion given I often can justify different logical continuations.</p>
<p>There is no ""fix"" for induction. There are various methods to pick/learn the most plausible function given the input/output pairs.</p>"
